mean,std,max,min,ptp,rms,energy,abs_mean,argmax,argmin,fft_mean,fft_std,fft_max,fft_peak_bin,fft_energy,distance_cm,source_file,label
2.110107421875,1137.4966909873694,8192.0,-7085.0,15277.0,1137.4986481576789,10599654806.0,472.734130859375,8.0,30.0,17917.40836256911,101370.95528904379,2686737.5115185636,175.0,43416335492146.01,24,l24.txt,laptop
-2.98046875,1149.5371498121397,8192.0,-7111.0,15303.0,1149.5410136189955,10825273688.0,469.07080078125,23.0,45.0,20450.10719066553,102002.44426401587,2740208.9596463568,175.0,44340624515208.016,24,l24.txt,laptop
-13.6087646484375,1122.1565161398712,7993.0,-7193.0,15186.0,1122.2390321096614,10317172287.0,460.6241455078125,30.0,4.0,19899.11142438171,99600.18733066981,2774094.4872521814,175.0,42265356486461.0,24,l24.txt,laptop
-3.615478515625,1342.428931954428,8192.0,-7876.0,16068.0,1342.4338006148396,14763036746.0,554.989501953125,0.0,117.0,24257.786898965333,119042.43722512509,3339270.4187454535,174.0,60469843925250.0,25,l25.txt,laptop
-15.6492919921875,1411.8540374014392,8192.0,-8045.0,16237.0,1411.940764786753,16331380517.0,554.5372314453125,38.0,12.0,23766.766359924455,125556.92576469769,3331468.3958256077,174.0,66901555039452.984,25,l25.txt,laptop
-6.998046875,1322.5521163031656,8192.0,-7587.0,15779.0,1322.5706306273578,14329389654.0,515.700927734375,0.0,68.0,24252.398025061208,117209.70818705438,3122203.2107149633,174.0,58694828579858.01,25,l25.txt,laptop
-0.8846435546875,1426.457482186161,8192.0,-8042.0,16234.0,1426.4577565000309,16668931941.0,567.0423583984375,11.0,81.0,22272.983171460026,127156.53374723374,3419723.5959961256,174.0,68275971791705.0,25,l25.txt,laptop
-13.085693359375,1360.6704638026251,8192.0,-7922.0,16114.0,1360.7333855078102,15168269078.0,523.470458984375,39.0,61.0,23540.108653978514,120879.41634463785,3147022.2348277816,174.0,62134979136138.016,25,l25.txt,laptop
5.533203125,1356.0861042319223,8192.0,-7532.0,15724.0,1356.0973926778763,15065089134.0,536.127685546875,55.0,173.0,20703.14290563251,120967.11401621142,3216952.7924770527,174.0,61707632489888.0,26,l26.txt,laptop
-3.38671875,1295.3265927156226,8192.0,-7317.0,15509.0,1295.331020110364,13745213044.0,509.322998046875,158.0,180.0,20104.314450531703,115489.2574891822,3106802.1549879806,174.0,56300777569042.0,26,l26.txt,laptop
-10.54248046875,1344.7512990515677,8192.0,-7366.0,15558.0,1344.7926234908164,14814963304.0,546.295654296875,172.0,194.0,22645.26686924901,119580.30961287991,3129904.233595423,174.0,60685823314960.01,26,l26.txt,laptop
-8.2288818359375,1292.5196499053409,8192.0,-7555.0,15747.0,1292.5458444046367,13686167633.0,486.7999267578125,43.0,208.0,23041.66299047271,114684.19379497044,2980134.17964782,174.0,56060818265433.01,26,l26.txt,laptop
0.0877685546875,1500.4574152788325,8192.0,-8016.0,16208.0,1500.457417845823,18443243215.0,600.4412841796875,75.0,241.0,24534.436601198635,133554.49854402663,3599221.1509572575,174.0,75543528680825.02,26,l26.txt,laptop
