mean,std,max,min,ptp,rms,energy,abs_mean,argmax,argmin,fft_mean,fft_std,fft_max,fft_peak_bin,fft_energy,distance_cm,source_file,label
-4.0916748046875,423.49209982280865,2589.0,-2647.0,5236.0,423.5118657311021,1469335965.0,222.1070556640625,49.0,25.0,6813.909018132627,37718.50102137213,970503.6703808424,175.0,6018962825141.0,20,pa20.txt,plastic box without foam
5.450439453125,414.74744643107323,2453.0,-2449.0,4902.0,414.78325859577325,1409393882.0,224.068115234375,53.0,30.0,5665.686104965805,37110.55378664214,903378.7288583971,175.0,5773874246100.0,20,pa20.txt,plastic box without foam
-3.896240234375,499.8583214560231,3390.0,-3170.0,6560.0,499.8735062161195,2046963894.0,244.051025390625,14.0,37.0,7439.811764528685,44623.288219991926,1154963.9642119638,172.0,8384873701738.001,21,pa21.txt,plastic box without foam
-7.700439453125,451.69095881498174,3038.0,-2920.0,5958.0,451.756592694527,1671856284.0,228.12548828125,20.0,0.0,8042.983627757605,40090.454538453065,1050530.946561767,172.0,6849914133626.0,21,pa21.txt,plastic box without foam
-1.225341796875,494.6046299748507,3392.0,-3339.0,6731.0,494.60614781367013,2004051898.0,240.136474609375,8.0,30.0,7528.237183200197,44123.69876354059,1102755.169877421,172.0,8208647379972.0,21,pa21.txt,plastic box without foam
-4.2777099609375,424.42075318441124,2904.0,-2906.0,5810.0,424.4423100212004,1475799241.0,210.6221923828125,23.0,0.0,7564.565463187964,37661.20564049352,979488.9302098382,172.0,6045488382680.999,21,pa21.txt,plastic box without foam
-5.3045654296875,508.60775675668094,3388.0,-3419.0,6807.0,508.63541819997255,2119352227.0,241.1553955078125,41.0,17.0,8243.313103170043,45289.21819827652,1092545.0381740504,175.0,8681811336816.999,21,pa21.txt,plastic box without foam
10.05224609375,681.3608014143017,4574.0,-4490.0,9064.0,681.4349487335301,3803984604.0,318.9267578125,10.0,34.0,8981.348331166722,61018.18660115383,1866715.5392913502,174.0,15584511576007.996,22,pa22.txt,plastic box without foam
-4.1798095703125,737.7862935887232,5037.0,-5095.0,10132.0,737.7981335131105,4459283135.0,327.7567138671875,24.0,2.0,12809.522986206852,65530.56250643398,1912650.8448074113,174.0,18265812840825.004,22,pa22.txt,plastic box without foam
-7.259765625,780.1956401859596,5292.0,-5277.0,10569.0,780.2294157247017,4986945054.0,348.081787109375,42.0,19.0,13281.248326118553,69352.49506097894,2018453.2679818529,174.0,20428298045576.0,22,pa22.txt,plastic box without foam
-1.7454833984375,735.0805532173803,4823.0,-4778.0,9601.0,735.082625580733,4426518253.0,337.4566650390625,5.0,30.0,11500.009635476774,65522.61474829328,1977947.884631119,174.0,18131122996989.0,22,pa22.txt,plastic box without foam
